  # of Sets    Percent Correlation    Detection Rate
-----------  ---------------------  ----------------
         13                   0.05           76.7917
         13                   0.15           79.4167
         13                   0.2            82.4333
         13                   0.25           81.8667
         13                   0.35           80.2417
         26                   0.05           66.075
         26                   0.15           71.5667
         26                   0.2            73.9
         26                   0.25           75.7917
         26                   0.35           78.8917
