---------------------------
Data Set: Mislabeled-Big
Vanilla Training: 8133 ham and 8584 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 2400 ham and 2400 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                              Polluted                                Cluster (Unpolluted) 1 (104, 0)         Cluster (Unpolluted) 2 (0, 0)           Cluster (Unpolluted) 3 (59, 0)          Cluster (Unpolluted) 4 (43, 43)         Cluster (Unpolluted) 5 (66, 0)          Cluster (Unpolluted) 6 (38, 38)         Cluster (Unpolluted) 7 (0, 0)           Cluster (Unpolluted) 8 (58, 58)         Cluster (Unpolluted) 9 (25, 0)          Cluster (Unpolluted) 10 (32, 32)        Cluster (Unpolluted) 11 (35, 0)         Cluster (Unpolluted) 12 (46, 46)        Cluster (Unpolluted) 13 (28, 0)         Cluster (Unpolluted) 14 (15, 15)        Cluster (Unpolluted) 15 (23, 0)         Cluster (Unpolluted) 16 (58, 58)        Cluster (Unpolluted) 17 (32, 0)         Cluster (Unpolluted) 18 (49, 49)        Cluster (Unpolluted) 19 (118, 0)        Cluster (Unpolluted) 20 (86, 86)        Cluster (Unpolluted) 21 (20, 0)         Cluster (Unpolluted) 22 (37, 37)        Cluster (Polluted) 1 (59, 0)            Cluster (Polluted) 2 (59, 59)           Cluster (Polluted) 3 (23, 0)            Cluster (Polluted) 4 (67, 67)           Cluster (Polluted) 5 (60, 0)            Cluster (Polluted) 6 (82, 82)           Cluster (Polluted) 7 (258, 0)           Cluster (Polluted) 8 (121, 121)         Cluster (Polluted) 9 (1611, 0)          Cluster (Polluted) 10 (1255, 1255)      Cluster (Polluted) 11 (3751, 0)         Cluster (Polluted) 12 (1825, 1825)      Cluster (Polluted) 13 (0, 0)            Cluster (Polluted) 14 (17, 17)          Cluster (Polluted) 15 (190, 0)          Cluster (Polluted) 16 (13, 13)          Cluster (Polluted) 17 (3, 0)            Cluster (Polluted) 18 (54, 54)          Cluster (Polluted) 19 (2026, 0)         Cluster (Polluted) 20 (364, 364)        Cluster (Polluted) 21 (991, 0)          Cluster (Polluted) 22 (168, 168)        
1    6.24748365242e-05: enron                0.000579225125499: variances            0.0148805633877: subject:hour           N/A                                     0.0739704408735: subject:start          0.000627702608453: ena                  6.24748365242e-05: enron                0.0157573346036: duran                  N/A                                     0.000351864883885: subject:enron        0.043349536315: lee                     0.000222893654961: kaminski             6.24748365242e-05: enron                0.0154634537162: kitchen                0.00488060694767: hpl                   6.24748365242e-05: enron                0.0377785294494: steve                  0.000351864883885: subject:enron        6.24748365242e-05: enron                0.00959488272921: pools                 0.0195606267144: subject:schedule       6.24748365242e-05: enron                0.0412843119648: assuming               6.24748365242e-05: enron                6.24748365242e-05: enron                0.0356311617714: utilities              0.000222893654961: kaminski             0.012893982808: subject:competitive     0.00260890259475: fyi                   6.24748365242e-05: enron                6.24748365242e-05: enron                0.00144472147138: ect                   0.00144472147138: ect                   6.24748365242e-05: enron                6.24748365242e-05: enron                0.000372856077554: scheduling           N/A                                     0.0104895104895: fran                   0.00341463649898: louise                6.24748365242e-05: enron                0.0737583775664: log                    6.24748365242e-05: enron                0.00197872669541: 713                   6.24748365242e-05: enron                0.000222893654961: kaminski             0.00310559006211: subject:presentation  
2    0.000222893654961: kaminski             0.000588312197673: hourahead            0.0437045635868: oct                    N/A                                     0.0915629493712: subject:request        0.000634786288616: subject:hpl          0.000222893654961: kaminski             0.0266272189349: parra                  N/A                                     0.000627702608453: ena                  0.0621130314124: noon                   0.000634786288616: subject:hpl          0.000222893654961: kaminski             0.0257428196086: houston                0.014813357406: vince                   0.000222893654961: kaminski             0.044908471943: subject:april           0.000634786288616: subject:hpl          0.000627702608453: ena                  0.0238095238095: subject:yard           0.0402218605902: lisa                   0.000222893654961: kaminski             0.043349536315: lee                     0.000222893654961: kaminski             0.000351864883885: subject:enron        0.0436308843249: arnold                 0.00102529049897: enrononline           0.0247317325309: subject:2002           0.00543073754982: subject: ;            0.000222893654961: kaminski             0.000222893654961: kaminski             0.00341463649898: louise                0.00341463649898: louise                0.000222893654961: kaminski             0.000222893654961: kaminski             0.00144472147138: ect                   N/A                                     0.030357757869: kimberly                0.00421995723533: daren                 0.000222893654961: kaminski             0.0919380434691: 2000                   0.000222893654961: kaminski             0.00365927906683: subject:2001          0.000222893654961: kaminski             0.000372856077554: scheduling           0.00850661625709: engagement            
3    0.000351864883885: subject:enron        0.000588312197673: parsing              0.0480384079849: criticized             N/A                                     0.0917770649437: preparing              0.00084761725372: stinson               0.000351864883885: subject:enron        0.0302013422819: 939                    N/A                                     0.00084761725372: stinson               0.0771878665258: weather                0.000693481276006: mmbtu                0.000351864883885: subject:enron        0.0390011996346: bellamy                0.035915166746: volumes                 0.000627702608453: ena                  0.0549503567479: tomorrow               0.000693481276006: mmbtu                0.000634786288616: subject:hpl          0.0314940677488: comments               0.0422832824171: laura                  0.000351864883885: subject:enron        0.047330001673: susan                   0.000351864883885: subject:enron        0.000634786288616: subject:hpl          0.0527632430197: yesterday              0.00172479877348: memo                  0.0264025441928: insights               0.00667747487876: portland              0.000351864883885: subject:enron        0.000351864883885: subject:enron        0.00354609929078: tariff                0.00398964313033: schedules             0.000351864883885: subject:enron        0.000351864883885: subject:enron        0.00172479877348: memo                  N/A                                     0.0412844036697: subject:bash           0.00660885721803: derivatives           0.000351864883885: subject:enron        0.132728333857: module                  0.000351864883885: subject:enron        0.00421995723533: daren                 0.000351864883885: subject:enron        0.000437360287686: hourahead            0.00959488272921: winfrey               
4    0.000372856077554: scheduling           0.000588312197673: subject: ;           0.0488967261109: amendment              N/A                                     0.094508184752: margot                  0.00106408134311: eol                   0.000627702608453: ena                  0.0439979684202: meyers                 N/A                                     0.00102529049897: enrononline           0.0813455739575: messages               0.000877364008579: crenshaw             0.000627702608453: ena                  0.0449839219313: anita                  0.0609994621063: commodity              0.000634786288616: subject:hpl          0.0662900683049: subject: /             0.000751377525463: xls                  0.000693481276006: mmbtu                0.0556471511549: interview              0.0434534177515: brad                   0.000627702608453: ena                  0.05626326871: subject:risk             0.000372856077554: scheduling           0.000693481276006: mmbtu                0.0662900683049: subject: /             0.00186799501868: shankman              0.0356311617714: utilities              0.0211143563022: schedule               0.000372856077554: scheduling           0.000372856077554: scheduling           0.00366151342555: mcconnell             0.00717507423523: subject:meter         0.000372856077554: scheduling           0.000372856077554: scheduling           0.00197872669541: 713                   N/A                                     0.0505617977528: 598                    0.0129686436341: webb                   0.000372856077554: scheduling           0.153000863756: managing                0.000627702608453: ena                  0.0046453226928: parsing                0.000372856077554: scheduling           0.000437360287686: subject:hourahead    0.0104895104895: obligated              
5    0.000437360287686: hourahead            0.000588312197673: subject:hourahead    0.055568474712: subject:visit           N/A                                     0.114877359001: failing                 0.00172479877348: memo                  0.000877364008579: crenshaw             0.0505617977528: salute                 N/A                                     0.00106408134311: eol                   0.0857012321077: appears                0.00172479877348: memo                  0.000634786288616: subject:hpl          0.0527632430197: yesterday              0.0662900683049: subject: /             0.000751377525463: xls                  0.0834321225866: thoughts               0.00120675784393: subject:nom           0.000751377525463: xls                  0.0567508049334: 2700                   0.0575464819376: attended               0.000634786288616: subject:hpl          0.0596070557917: enjoyed                0.000627702608453: ena                  0.000751377525463: xls                  0.0714639417199: skinner                0.00201884253028: ubs                   0.0505617977528: subject:topics         0.0247317325309: dpr                    0.000559075661573: variances            0.000559075661573: variances            0.00372208436725: adjustment            0.0130358415425: beck                   0.000559075661573: variances            0.000437360287686: hourahead            0.00201884253028: ubs                   N/A                                     0.0813861205863: arbitrage              0.0130358415425: beck                   0.000627702608453: ena                  0.17293050179: deal                     0.000634786288616: subject:hpl          0.00543073754982: subject: ;            0.000559075661573: variances            0.00049729251851: westdesk              0.0112296723742: coordinate             
6    0.000437360287686: subject:hourahead    0.000588312197673: westdesk             0.0739704408735: subject:start          N/A                                     0.118985490697: role                    0.00185261424455: transwestern          0.00103472062543: ees                   0.0526112332123: suzanne                N/A                                     0.00124001102232: sitara                0.12216082428: subject:track            0.00191570881226: zimin                 0.000751377525463: xls                  0.0625207686036: graduate               0.07151917875: meeting                  0.00084761725372: stinson               0.0994854317846: mary                   0.00141110065851: calger                0.00102063960082: enronxgate            0.0596070557917: enjoyed                0.0582130956267: spoke                  0.000693481276006: mmbtu                0.0627797089195: joe                    0.000751377525463: xls                  0.00120675784393: subject:nom           0.0804389488793: criticism              0.00286806883365: egm                   0.055568474712: subject:visit           0.0260489248841: edu                    0.000627702608453: ena                  0.000627702608453: ena                  0.00437317784257: patti                 0.014813357406: vince                   0.000627702608453: ena                  0.000437360287686: subject:hourahead    0.00219619326501: wes                   N/A                                     0.0813861205863: subject:europe         0.0143864109041: nom                    0.00084761725372: stinson               0.179314085981: subject                 0.000693481276006: mmbtu                0.00835041716351: origination           0.000627702608453: ena                  0.000627702608453: ena                  0.012893982808: preparations            
7    0.00049729251851: westdesk              0.000766740500937: subject:hpl          0.0928298050533: koch                   N/A                                     0.134474129472: recognize               0.00205573321151: calpine               0.00105411103303: counterparty          0.0556471511549: interview              N/A                                     0.00141110065851: calger                0.131641552248: corey                   0.00205573321151: calpine               0.00084761725372: stinson               0.0651240482644: downtown               0.0728296240152: cheryl                 0.00102063960082: enronxgate            0.112676038581: subject:visa            0.00169875424689: subject:actuals       0.00105411103303: counterparty          0.0617066854782: parsons                0.0627797089195: joe                    0.000751377525463: xls                  0.0714639417199: hess                   0.00084761725372: stinson               0.00141110065851: calger                0.0945238591499: attached               0.00323974082073: subject:tenaska       0.0556471511549: interview              0.030357757869: kimberly                0.000693481276006: mmbtu                0.000634786288616: subject:hpl          0.00455005055612: lawsuit               0.0154634537162: kitchen                0.000634786288616: subject:hpl          0.00049729251851: westdesk              0.00246036085293: stacey                N/A                                     0.0813861205863: wheeler                0.0149534610126: redmond                0.000877364008579: crenshaw             0.188529206238: brief                   0.000751377525463: xls                  0.00991634519315: forwarded             0.000634786288616: subject:hpl          0.000693481276006: mmbtu                0.0130358415425: beck                   
8    0.000559075661573: variances            0.00134368468199: subject:nom           0.0934541852016: 1400                   N/A                                     0.136979188517: voted                   0.00266429840142: tenaska               0.00144472147138: ect                   0.0813861205863: fannie                 N/A                                     0.00146627565982: ferc                  0.139493955817: troubling               0.00260890259475: fyi                   0.00102063960082: enronxgate            0.0813455739575: messages               0.0738873134264: john                   0.00103472062543: ees                   0.113660186745: james                   0.00172479877348: memo                  0.00144472147138: ect                   0.0652173913043: subject:commission     0.0635567682958: weakness               0.00084761725372: stinson               0.0715762853168: folks                  0.000877364008579: crenshaw             0.00144472147138: ect                   0.0950271009656: extending              0.00333580429948: subject:netco         0.0747648114216: subject:desk           0.0314940677488: comments               0.000751377525463: xls                  0.000693481276006: mmbtu                0.00506186726659: carr                  0.0157573346036: duran                  0.000693481276006: mmbtu                0.000559075661573: variances            0.00298210735586: subject:october       N/A                                     0.0870451452076: opens                  0.0154634537162: kitchen                0.00103472062543: ees                   0.193671309889: thanks                  0.00084761725372: stinson               0.0108143480799: subject:2000           0.000693481276006: mmbtu                0.000751377525463: xls                  0.0145631067961: routinely              
9    0.000627702608453: ena                  0.00167348456675: teco                  0.0954336759747: subject: ;             N/A                                     0.142886733434: attachment              0.00341463649898: louise                0.00146627565982: ferc                  0.0822811910669: probably               N/A                                     0.00186799501868: shankman              0.155999905485: bruce                   0.00263311878291: noms                  0.00105411103303: counterparty          0.0868080847483: reception              0.0760076712337: richard                0.001100513573: gibner                  0.116624481388: hires                   0.00197872669541: 713                   0.001515661839: vasant                  0.0652173913043: subject:learning       0.0738873134264: john                   0.00120675784393: subject:nom           0.0760076712337: richard                0.00102063960082: enronxgate            0.00145678213014: teco                  0.122035004397: robert                  0.00341463649898: louise                0.0834321225866: thoughts               0.0340762482272: restart                0.00084761725372: stinson               0.000751377525463: xls                  0.00506186726659: subject:february      0.0171394156976: subject:revised        0.000751377525463: xls                  0.000627702608453: ena                  0.00341463649898: louise                N/A                                     0.0874576281731: megs                   0.0168924748572: contributed            0.00105907272299: lavorato              0.213309914874: import                  0.000877364008579: crenshaw             0.0112296723742: coordinate             0.000751377525463: xls                  0.00084761725372: stinson               0.0145631067961: slashed                
10   0.000634786288616: subject:hpl          0.00175165434021: subject:actuals       0.106254725192: questions               N/A                                     0.14590370987: responding               0.00391644908616: frevert               0.00197872669541: 713                   0.084242704262: allen                   N/A                                     0.00197872669541: 713                   0.157806900069: suggested               0.00266429840142: wellhead              0.00105907272299: lavorato              0.0915603405615: marked                 0.0804276046817: flows                  0.00141110065851: calger                0.117599974767: ranking                 0.00263311878291: noms                  0.00172479877348: dynegy                0.0662900683049: subject: /             0.0761029559482: reviving               0.00124001102232: sitara                0.0761094141652: exxon                  0.00102529049897: enrononline           0.00169875424689: subject:actuals       0.128072955876: settled                 0.00366151342555: warburg               0.0945238591499: attached               0.034137959759: presentation            0.000877364008579: crenshaw             0.00084761725372: stinson               0.00542822677925: spreadsheets          0.0173936834338: nymex                  0.00084761725372: stinson               0.000634786288616: subject:hpl          0.00366151342555: mcconnell             N/A                                     0.0874576281731: newcomer               0.0200738996001: hourly                 0.001100513573: gibner                  0.216682673452: changes                 0.00102063960082: enronxgate            0.011338269031: curves                  0.00084761725372: stinson               0.000877364008579: crenshaw             0.0196506550218: ratios                 
