---------------------------
Data Set: Mislabeled-Big
Vanilla Training: 8133 ham and 8584 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 2400 ham and 2400 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                            Polluted                              
1    6.24748365242e-05: enron              0.000437360287686: hourahead          
2    0.000222893654961: kaminski           0.000437360287686: subject:hourahead  
3    0.000351864883885: subject:enron      0.00049729251851: westdesk            
4    0.000372856077554: scheduling         0.00172479877348: subject:crawler     
5    0.000437360287686: hourahead          0.00323974082073: subject:tenaska     
6    0.000437360287686: subject:hourahead  0.00328707085464: hplno               
7    0.00049729251851: westdesk            0.00333580429948: subject:netco       
8    0.000559075661573: variances          0.00349107835531: dbcaps              
9    0.000627702608453: ena                0.00354609929078: enrj                
10   0.000634786288616: subject:hpl        0.00428979980934: avila               
11   0.000693481276006: mmbtu              0.00469542337638: parsing             
12   0.000751377525463: xls                0.0049504950495: downgraded           
13   0.00084761725372: stinson             0.0049504950495: ponton               
14   0.000877364008579: crenshaw           0.00506186726659: subject:cornhusker  
15   0.00102063960082: enronxgate          0.00547524189398: subject: ;          
16   0.00102529049897: enrononline         0.00570342205323: xent                
17   0.00103472062543: ees                 0.00585175552666: hplnl               
18   0.00105411103303: counterparty        0.00585175552666: ousted              
19   0.00105907272299: lavorato            0.00585175552666: tblloads            
20   0.00106408134311: eol                 0.00600801068091: bln                 
21   0.001100513573: gibner                0.00634696755994: cleburne            
22   0.00120675784393: subject:nom         0.00634696755994: subject:sept        
23   0.00124001102232: sitara              0.00653120464441: naveen              
24   0.00137656775772: vkamins             0.00653120464441: ubsw                
25   0.00141110065851: 77002               0.0067264573991: attributed           
26   0.00141110065851: calger              0.0067264573991: sager                
27   0.00144472147138: ect                 0.0067264573991: tumbled              
28   0.00145678213014: teco                0.0067264573991: whiting              
29   0.00146627565982: ferc                0.00693374422188: estoppel            
30   0.001515661839: vasant                0.00693374422188: koepke              
31   0.0015795015795: skilling             0.00715421303657: 8722                
32   0.00169875424689: subject:actuals     0.00715421303657: beaty               
33   0.00172479877348: dynegy              0.00715421303657: embattled           
34   0.00172479877348: memo                0.00738916256158: afx                 
35   0.00172479877348: subject:crawler     0.00738916256158: gwyn                
36   0.00185261424455: transwestern        0.00738916256158: subject:neon        
37   0.00186799501868: shankman            0.00764006791171: dorie               
38   0.00191570881226: zimin               0.00764006791171: extel               
39   0.00197872669541: 713                 0.00764006791171: ieor                
40   0.00201884253028: ubs                 0.00764006791171: osprey              
41   0.00205573321151: calpine             0.00764006791171: ubswarburg          
42   0.00205573321151: lokay               0.00764006791171: updatel             
43   0.00211366838891: shanbhogue          0.0079086115993: optic                
44   0.00211366838891: whalley             0.0079086115993: overstated           
45   0.00213371266003: ene                 0.00819672131148: afxnews             
46   0.00219619326501: aep                 0.00819672131148: afxpress            
47   0.00219619326501: wes                 0.00819672131148: beleaguered         
48   0.00221784130113: belden              0.00819672131148: plummeted           
49   0.00233281493002: ebs                 0.00850661625709: barone              
50   0.0024077046549: cotten               0.00850661625709: engy                
51   0.0024077046549: schoppe              0.00850661625709: keohane             
52   0.00246036085293: stacey              0.00850661625709: subject:ets         
53   0.00251537171604: fastow              0.00884086444008: 5426                
54   0.00260890259475: fyi                 0.00884086444008: coale               
55   0.00263311878291: noms                0.00884086444008: interchg            
56   0.00263311878291: shona               0.00884086444008: oren                
57   0.00266429840142: subject:mentions    0.00884086444008: winfrey             
58   0.00266429840142: tenaska             0.00920245398773: alleging            
59   0.00266429840142: txu                 0.00920245398773: collapsed           
60   0.00266429840142: wellhead            0.00920245398773: fap                 
61   0.0027289266222: krishnarao           0.00920245398773: lexi                
62   0.0027289266222: tamarchenko          0.00920245398773: newsroom            
63   0.00279676817899: clynes              0.00920245398773: osdn                
64   0.00279676817899: socal               0.00920245398773: pools               
65   0.00286806883365: colwell             0.00920245398773: whitewing           
66   0.00286806883365: egm                 0.00959488272921: alleges             
67   0.00298210735586: subject:ena         0.00959488272921: borrowed            
68   0.00298210735586: subject:october     0.00959488272921: mln                 
69   0.00302216252518: milnthorp           0.00959488272921: plaintiffs          
70   0.00302216252518: mirant              0.00959488272921: restated            
71   0.00306330837304: delainey            0.00959488272921: sharad              
